proj_id,repo_name,owner_login,language,n_PR,n_issue,use_tag,bug_tag,n_fix
2862290,Android-Universal-Image-Loader, nostra13,Java,122,1036,t,90,n_fix
1451060,ActionBarSherlock,JakeWharton,java,353,878,t,150,n_fix
